Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,
84,Group contribution-based property modeling for chemical product design: A perspective in the AI era,"Mann, Vipul; Gani, Rafiqul; Venkatasubramanian, Venkat",FLUID PHASE EQUILIBRIA,2023,"We provide a perspective of the challenges and opportunities for the group contribution approach for property prediction modeling with respect to their use in the design of chemical-based products in the modern era of artificial intelligence. In particular, we discuss issues related to the correct formulation of the product design problem, representation of molecular structures for property prediction as well as generation of product candidates, regression of property model parameters, and the integration of property related data and models with product design methods and tools using several conceptual examples. The need for developing appropriate hybrid AI models is described and recommendations for future work are presented.",http://dx.doi.org/10.1016/j.fluid.2023.113734,ENGINEERING.PRODUCT,N,molecular level design,
86,Comparing AIGC and traditional idea generation methods: Evaluating their impact on creativity in the product design ideation phase,"Lin, Huan; Jiang, Xiaoliang; Deng, Xiaolei; Bian, Ze; Fang, Cong; Zhu, Yuan",THINKING SKILLS AND CREATIVITY,2024,"In the early stages of product design, generating creative ideas is crucial for designers as it lays the groundwork for innovative products. This study explores how different idea generation methods, including modern artificial intelligence-generated content (AIGC) and traditional approaches, affect designers' creativity. Using a mixed-methods approach, we conducted a detailed experiment with 38 s-year university students majoring in product design, comparing four methods: traditional brainstorming (with and without images) and AIGC (using DCGANs and PGGANs). Our findings indicate that while AIGC offers benefits, it does not consistently surpass traditional techniques in fostering creativity. The quality of AIGC-generated images significantly impacts creativity, with higher-quality images proving more inspirational. Additionally, gender differences were observed: male designers preferred traditional methods, while female designers favored AIGC for creative enhancement. Male designers generated more creative ideas when working with low-quality images, whereas female designers were more productive with high- quality stimuli. This study suggests that to optimize creativity in product design, it is essential to balance the benefits of both AIGC and traditional methods, choosing the approach that best fits the project's unique needs rather than focusing solely on the latest or most advanced methods. Moreover, maintaining a good balance between AIGC and traditional idea generation methods throughout the process should be considered.",http://dx.doi.org/10.1016/j.tsc.2024.101649,ENGINEERING.PRODUCT,Q,"AI vs. traditional idea generation and creativity, DCGANs, PGGANs, just comparison and no proposal of new method",
88,3D image processing technology based on interactive entertainment application in cultural and creative product design,"Zhan, Chaobi; Kim, Chul-Soo; Wei, Xin",ENTERTAINMENT COMPUTING,2024,"3D printing technology has many advantages that traditional production models do not have, greatly accelerating the speed of product design and development. In order to achieve the application of machine learning based 3D image processing technology in cultural and creative product design, this article collects a large amount of 3D image data as training samples and uses machine learning algorithms to establish a training model. Considering the characteristics of the data and the processing objectives, these 3D image data are used as a training set and trained through machine learning algorithms to learn the features and patterns of the image. After the training is completed, use this model to process the new 3D image. By inputting new image data, the model automatically extracts image features and predicts and processes them based on previously learned patterns. Evaluate the advantages and disadvantages of machine learning based methods in processing complex 3D images by comparing experimental results. The experimental results show that machine learning based 3D image processing technology has high accuracy and efficiency in the design of cultural and creative products. Compared with traditional methods, this method can better process complex 3D images and provide better design effects.",http://dx.doi.org/10.1016/j.entcom.2024.100701,ENGINEERING.PRODUCT,N,No access,
92,Semantic Networks for Engineering Design: State of the Art and Future Directions,"Han, Ji; Sarica, Serhad; Shi, Feng; Luo, Jianxi",JOURNAL OF MECHANICAL DESIGN,2022,"In the past two decades, there has been increasing use of semantic networks in engineering design for supporting various activities, such as knowledge extraction, prior art search, idea generation, and evaluation. Leveraging large-scale pre-trained graph knowledge databases to support engineering design-related natural language processing (NLP) tasks has attracted a growing interest in the engineering design research community. Therefore, this study aims to provide a survey of the state-of-the-art semantic networks for engineering design and propositions of future research to build and utilize large-scale semantic networks as knowledge bases to support engineering design research and practice. The survey shows that WordNet, ConceptNet, and other semantic networks, which contain common-sense knowledge or are trained on non-engineering data sources, are primarily used by engineering design researchers to develop methods and tools. Meanwhile, there are emerging efforts in constructing engineering and technical-contextualized semantic network databases, such as B-Link and TechNet, through retrieving data from technical data sources and employing unsupervised machine learning approaches. On this basis, we recommend six strategic future research directions to advance the development and uses of large-scale semantic networks for artificial intelligence applications in engineering design.",http://dx.doi.org/10.1115/1.4052148,ENGINEERING.PRODUCT,N,Survey,
93,Promoting knowledge recommendation in innovative engineering design: a BERT-GAT-based patent representation learning approach,"Li, Mingrui; Wang, Zuoxu; Yan, Zhijie; Liang, Xinxin; Liu, Jihong",JOURNAL OF ENGINEERING DESIGN,2024,"Since innovation in complex product design hinges on thorough engineering knowledge application, high-quality patent recommendations foster innovation in engineering design. However, many patent knowledge recommendation studies perform patent analysis without comprehensive exploration and proper organisation of knowledge, causing a superficial understanding of patents and returning arbitrary results. To mitigate this issue, a deep learning-based approach for patent representation learning and knowledge recommendation is proposed. First, a four-dimensional patent knowledge model is defined to formalise the patent attributes that critically affect the engineering design outcomes, namely patents' domain(D), function(F), technology(T) and citation(C). Second, to exploit patent knowledge from their content and citation relationships, a representation learning approach integrating Bidirectional Encoder Representations from Transformers(BERT) and Graph Attention Network(GAT) is introduced. Thereafter a patent knowledge space is established in which each patent is characterised by the function, technology, and citation embeddings. Third, a knowledge requirement space is also constructed by vectorising a designer's search query via BERT model and linking it to a requirement-representing patent based on similarity. Finally, a recommender prototype is developed and showcased by the knowledge recommendation in sealing structure design tasks. Comparative experiments and application cases validate the effectiveness of our method in patent representation learning and knowledge recommendation.",http://dx.doi.org/10.1080/09544828.2024.2339713,ENGINEERING.PRODUCT,Y,"Patent representaiton learning and knowledge recommendation, DL, BERT, Graph Attenion Network",
95,Engineering design optimisation using reinforcement learning with episodic controllers,"Yang, Jun; Cheng, Zhenbo; Xiao, Gang; Xu, Xuesong; Wang, Yaming; Ding, Haonan; Zhou, Diting",COGNITIVE COMPUTATION AND SYSTEMS,2022,"Engineers solving engineering design problems can be regarded as a gradual optimisation process that involves strategising. The process can be modelled as a reinforcement learning (RL) framework. This article presents an RL model with episodic controllers to solve engineering problems. Episodic controllers provide a mechanism for using the short-term and long-term memories to improve the efficiency of searching for engineering problem solutions. This work demonstrates that the two kinds of models of memories can be incorporated into the existing RL framework. Finally, an optimised design problem of a crane girder is illustrated by RL with episodic controllers. The work presented in this study leverages the RL model that has been shown to mimic human problem solving in engineering optimised design problems.",http://dx.doi.org/10.1049/ccs2.12063,ENGINEERING.PRODUCT,Y,RL with episodic controllers to mimic human problem solving,
96,Deep Learning Visualization for Underspecification Analysis in Product Design Matching Model Development,"Chotisarn, Noptanit; Pimanmassuriya, Wissarut; Gulyanon, Sarun",IEEE ACCESS,2021,"In machine learning model development, the best model for deployment is usually chosen among the models trained during hyperparameter tuning based on the performance on the test data. However, with the underspecification problem, this practice can be shortsighted as the solution may not perform well in the production environment. Hence, developers need a better tool to comprehend model results in both development and production environments to guide the next iteration of development. In this work, we present the novel visualization system for tracking model results with underspecification analysis in mind. In our evaluation, we show both qualitative and quantitative analysis of model development for product design matching problem and the results suggest that our method helps developers gain a better understanding of the models being developed, resulting in better performance in production. Finally, this visualization has been used at Wazzadu.com to help developers make decisions more effectively in model development.",http://dx.doi.org/10.1109/ACCESS.2021.3102174,ENGINEERING.PRODUCT,N,Design of AI/ML models,
98,A review of digital twin in product design and development,"Lo, C. K.; Chen, C. H.; Zhong, Ray Y.",ADVANCED ENGINEERING INFORMATICS,2021,"In the era of digitalization, there are many emerging technologies, such as the Internet of Things (IoT), Digital Twin (DT), Cloud Computing and Artificial Intelligence (AI), which are quickly developped and used in product design and development. Among those technologies, DT is one promising technology which has been widely used in different industries, especially manufacturing, to monitor the performance, optimize the progresses, simulate the results and predict the potential errors. DT also plays various roles within the whole product lifecycle from design, manufacturing, delivery, use and end-of-life. With the growing demands of individualized products and implementation of Industry 4.0, DT can provide an effective solution for future product design, development and innovation. This paper aims to figure out the current states of DT research focusing on product design and development through summarizing typical industrial cases. Challenges and potential applications of DT in product design and development are also discussed to inspire future studies.",http://dx.doi.org/10.1016/j.aei.2021.101297,ENGINEERING.PRODUCT,N,Review paper,
100,Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,"Baule, Daniel de Souza; von Wangenheim, Christiane Gresse; von Wangenheim, Aldo; Hauck, Jean C. R.; Vargas Junior, Edson C.",PROCEEDINGS OF THE 20TH BRAZILIAN SYMPOSIUM ON HUMAN FACTORS IN COMPUTING SYSTEMS (IHC 2021),2021,"Transforming a user interface sketch into a wireframe using App Inventor has been a common need both in computing education and the development of applications by end users. As this part of mobile application development is challenging and time-consuming, we present an approach that automates this process through the prototyping of user interfaces. The Sketch2aia approach employs deep learning to detect the user interface components and their position in a hand-drawn sketch, creating an intermediate representation of the user interface and automatically generating the App Inventor code for the respective wireframe. The approach achieves an average classification accuracy of the components of the user interface of 87.72% and results of a preliminary evaluation with users indicate that it generates wireframes that resemble sketches in terms of visual similarity. The approach is available as a web tool and can be used to support the teaching of user interface design effectively and efficiently, as well as the development of mobile applications by end users.",http://dx.doi.org/10.1145/3472301.3484340,UI/UX,Y,DL to detect UI components in sketch and generate representation and code,
105,QMaC: A Quantum Mechanics/Machine Learning-based Computational Tool for Chemical Product Design,"Liu, Qilei; Tang, Kun; Zhang, Jinyuan; Feng, Yixuan; Xu, Chenyang; Liu, Linlin; Du, Jian; Zhang, Lei","30TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING, PTS A-C",2020,"Chemical industry is focusing more on higher value-added materials compared to commodity chemicals. Chemical-based product design has now become a key topic in chemical engineering. A few computer-aided chemical product design platforms/tools have been developed to help design various chemical products. In this work, a Quantum mechanics/Machine learning-based Computational property prediction tool (QMaC) is developed for chemical product design, aiming to employ the Quantum Mechanics (QM) and Machine Learning (ML) techniques to better design organic solvents, inorganic materials, fertilizers and pesticides, polymers, catalysts and other chemical products for human needs. A case study is given to demonstrate the validity of the developed product design tool.",http://dx.doi.org/10.1016/B978-0-12-823377-1.50302-5,ENGINEERING.PRODUCT,N,Chemical product design,
106,Product innovation concept generation based on deep learning and Kansei engineering,"Li, Xiong; Su, Jianning; Zhang, Zhipeng; Bai, Ruisheng",JOURNAL OF ENGINEERING DESIGN,2021,"Industrial designers often present their initial concepts as design sketches. Rapid creation of new product conceptual images that meet users' affective preferences remains challenging in real design environments. However, few published works in affective design directly assist industrial designers in creating product conceptual images. Thus, we propose a product concept generation approach framework based on deep learning and Kansei engineering (PCGA-DLKE) to assist industrial designers. Our work focuses on dataset collection, pre-processing, affective preferences recognition, conceptual image generation model and product style transfer networks. To mark users' affective preferences, we established an affective recognition model by Kansei engineering and deep convolutional neural networks. To address the product conceptual image generation problem, we proposed a product design GAN model (PD-GAN), generating product conceptual images with affective preferences. An improved fast neural style transfer network was successfully trained to meet users' style preferences. This study aims to assist industrial designers in finding innovative concepts with affective preference. The Kansei evaluation shows that the innovation of the new product concept has been enhanced, indicating that the approach can better assist industrial designers in creating designs that meet users' emotional needs. Hand drill design and bicycle helmet design are taken as a case study.",http://dx.doi.org/10.1080/09544828.2021.1928023,ENGINEERING.PRODUCT,Y,"Concept generation, affective preference recognition, DL, DCNN, GAN",
107,Human plus Non-human Creative Identities. Symbiotic Synthesis in Industrial Design Creative Processes,"Calleo, Alberto; Rosato, Ludovica","PROGRESS IN ARTIFICIAL INTELLIGENCE, EPIA 2023, PT II",2023,"As digital technologies are increasingly used in creative professions, the evolution of the relationship between designers and machines is growing in interest. Such topic is part of a broad debate on how cognitive processes and human intelligence development co-evolve in parallel with technology advancements in a process of technogenesis. In a complex socio-economic system, Artificial Intelligence-based technologies are both providing new tools and challenging the idea of creativity itself. We discuss how the creative process in the field of industrial design is commonly intended and we argue that the adoption of AI-based technologies is part of an ongoing process of symbiotic co-evolution between human and machine embedded in the creative process itself and, therefore, designers ought to develop synergic strategies to foster future innovation.",http://dx.doi.org/10.1007/978-3-031-49011-8_3,ENGINEERING.PRODUCT,N,Discussion paper,
108,A User Review Analysis Tool Empowering Iterative Product Design,"Wu, Qi","HCI INTERNATIONAL 2024 POSTERS, PT VI, HCII 2024",2024,"Understanding user feedback and improving accordingly is an essential phase in iterative product design. User reviews provide sufficient and various user feedback about general experience, specific features, and bug reports. While the traditional manual analysis may yield some insights, it is often constrained by limited sample sizes and potential biases. This paper introduces a user review analysis tool equipped with a graphical user interface, based on multiple machine learning and natural language processing techniques. This tool is designed to aid developers in rapidly acquiring a qualitative understanding of user experiences regarding product features and topics, by illustrating user attitude evolution and summarizing diverse user opinions. The tool's performance is evaluated with datasets from three different applications, each containing 50000 reviews. It was able to identify major features and topics and illustrated the evolution of user attitudes. Its effectiveness in summarizing diverse user opinions was also highlighted. The user review analysis tool can enable developers to efficiently process and interpret large volumes of user feedback, thereby significantly enhancing the iterative design process with data-driven insights.",http://dx.doi.org/10.1007/978-3-031-61966-3_19,UI/UX,Y,"User review analysis, ML, NLP (NLTK, Gensim’s model.ldamodel module), app design so more UI/UX?",
109,"A study of UX practitioners roles in designing real-world, enterprise ML systems","Zdanowska, Sabah; Taylor, Alex S.",PROCEEDINGS OF THE 2022 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI' 22),2022,"Opportunities for AI and machine learning (ML) are vast in current interactive systems development. However, comparatively little is known about how functionality for the system behind the interface is designed and how design methodologies such as user-centered design have influence. This research focuses on how interdisciplinary teams that include UX practitioners design real-world enterprise ML systems outside of big technology companies. We conducted a survey with product managers, and interviews with interdisciplinary teams and individual UX practitioners. The findings show that nontechnical UX practitioners are highly capable in designing AI/ML systems. In addition to applying UX and interaction design expertise to make decisions regarding functionality, they employ skills that aid collaboration across interdisciplinary teams. However, our findings suggest existing HCI design techniques such as prototyping and simulating complexity of enterprise ML systems are insufficient. We propose adaptations to design practices and conclude that some existing research should be reconsidered.",http://dx.doi.org/10.1145/3491102.3517607,ENGINEERING.PRODUCT,N,Designing ML systems,
305,The Exploration of Integrating the Midjourney Artificial Intelligence Generated Content Tool into Design Systems to Direct Designers towards Future-Oriented Innovation,"Yin, Hu; Zhang, Zipeng; Liu, Yuanyuan",SYSTEMS,2023,"In an age where computing capabilities are expanding at a breathtaking pace, the advent of Artificial Intelligence-Generated Content (AIGC) technology presents unprecedented opportunities and challenges to the future of design. It is crucial for designers to investigate how to utilize this powerful tool to facilitate innovation effectively. As AIGC technology evolves, it will inevitably shift the expectations of designers, compelling them to delve deeper into the essence of design creativity, transcending traditional sketching or modeling skills. This study provides valuable insights for designers on leveraging AIGC for forward-thinking design innovation. We focus on the representative AIGC tool, Midjourney, to explore its integration into design systems for collaborative innovation among content creators. We introduce an AIGC-based Midjourney path for product design and present a supporting tool card set: AMP-Cards. To confirm their utility, we undertook extensive validation through advanced prototype design research, task-specific project practices, and interdisciplinary collaborative seminars. Our findings indicate that AIGC can considerably enhance designers' efficiency during product development, especially in the explorative product shape phase. The technology excels in identifying design styles and quickly producing varied design solutions. Moreover, AIGC's capacity to swiftly translate creators' concepts into visual forms greatly aids in multidisciplinary team communication and innovation.",http://dx.doi.org/10.3390/systems11120566,ENGINEERING.PRODUCT,Y,AIGC (Midjourney)'s influence on the design process,
306,Innovation design oriented functional knowledge integration framework based on reinforcement learning,"Lan, Xiang; Hu, Yahong; Xie, Youbai; Meng, Xianghui; Zhang, Yilun; Pan, Qiangang; Ding, Yishen",ADVANCED ENGINEERING INFORMATICS,2023,"According to the basic law of Design Science, new product design is based on existing design knowledge. Knowledge integration can be applied to product function design to shorten design time and improve the design quality through effective use of the existing knowledge. With the increase of the product design complexity and the number of design knowledge, it is harder and harder for traditional traversal-based algorithms to complete knowledge integration under acceptable time cost. A Reinforcement Learning (RL) based functional knowledge integration framework is proposed. The functional knowledge is represented by its input and output, and organized using a knowledge graph. The Q-network is constructed and trained for the deep Monte Carlo methodbased functional unit chain generation algorithm. The performance experiments show that comparing with the traditional searching algorithms, the RL based algorithm can provide same quality design scheme with much shorter time. The proposed algorithm is promising to realize real-time functional knowledge integration in largescale knowledge bases.",http://dx.doi.org/10.1016/j.aei.2023.102122,ENGINEERING.PRODUCT,Y,"RL-based functional knowledge integration framework, deep Monte Carlo",
311,Intelligent CAD 2.0,"Zou, Qiang; Wu, Yingcai; Liu, Zhenyu; Xu, Weiwei; Gao, Shuming",VISUAL INFORMATICS,2024,"Integrating modern artificial intelligence (AI) techniques, particularly generative AI, holds the promise of revolutionizing computer-aided design (CAD) tools and the engineering design process. However, the direction of AI+CADremains unclear: how will the current generation of intelligent CAD (ICAD) differ from its predecessor in the 1980s and 1990s, what strategic pathways should researchers and engineers pursue for its implementation, and what potential technical challenges might arise? As an attempt to address these questions, this paper investigates the transformative role of modern AI techniques in advancing CAD towards ICAD. It first analyzes the design process and reconsiders the roles AI techniques can assume in this process, highlighting how they can restructure the path humans, computers, and designs interact with each other. The primary conclusion is that ICAD systems should assume an intensional rather than extensional role in the design process. This offers insights into the evaluation of the previous generation of ICAD (ICAD 1.0) and outlines a prospective framework and trajectory for the next generation of ICAD (ICAD 2.0). (c) 2024 The Authors. Published by Elsevier B.V. on behalf of Zhejiang University and Zhejiang University Press Co. Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",http://dx.doi.org/10.1016/j.visinf.2024.10.001,ENGINEERING.PRODUCT,N,Review paper,
312,Physics-Constrained Machine Learning for Reliability-Based Design Optimization,"Xu, Yanwen; Wang, Pingfeng","2023 ANNUAL RELIABILITY AND MAINTAINABILITY SYMPOSIUM, RAMS",2023,"To aid and improve the reliability of product designs, repeated safety tests are required to find out the safety performance of the product with respect to design variables. A large number of design variables involved in the performance evaluations often leads to enormous testing costs. A method that can effectively utilize partially available information from multiple sources of varying dimensions and fidelity is a pressing need for reliability-based product design. Moreover, in the product design and safety estimation process, it is beneficial to take into account the manufacturing policies and physical principles. Therefore, it is desirable to have a framework that allows the incorporation of physical principles and other prior information to regularize the behavior of the predictive model. This paper presents a new physics-constrained machine learning method for reliability-based product design and safety estimation considering partially available limited reliability information.",http://dx.doi.org/10.1109/RAMS51473.2023.10088268,ENGINEERING.PRODUCT,Y,"reliabbility and safety testing, physics-constrained ML, surrogate model, Bayesian GPLVM",
316,AI-TWILIGHT: AI-digital TWIn for LIGHTing - a new European project,"Martin, Genevieve; Poppe, Andras; Schoeps, Sebastian; Kraker, Elke; Marty, Christophe; Soer, Wouter; Yu, Joan",2021 27TH INTERNATIONAL WORKSHOP ON THERMAL INVESTIGATIONS OF ICS AND SYSTEMS (THERMINIC),2021,"The European industry needs to keep competitive advantage by addressing the needs for Industry 4.0 and be prepared for 5.0. Already finalized European project Delphi4LED proposed new methods and standards to generate a first of a kind multidomain LED digital twins. Compared to traditional approach, the newly developed LED digital models contributes to reduce the design phase thanks to faster computation at equivalent accuracy. AI-TWILIGHT will generate prescriptive digital twins for the lighting industry. The project is addressing multiple application area: automotive, horticulture, streetlighting, general lighting. The ambition is to cover a large part of the lifecycle of a LED-based system (including the electronic driver): from product design flow to infrastructure development and maintenance. The key technical and exploitation objectives of the AI-TWILIGHT consortium are:. To create digital twins of LED light-sources and electronics (driver). To create self-learning models using Artificial intelligence (AI) and analytics techniques. To facilitate the implementation of the digital twins in digitalized design flow (for Solid State Lighting SSL product design) and facilitate their applications upstream, up to digital twins of lighting systems of large infrastructures (e.g. for building design). To implement the AI-TWILIGHT methods, models and tools within consortium partners to harvest its benefits AI-TWILIGHT LED application design flows will be combined with the CPS/ IoT approaches and reliability aspects, supported by AI techniques. A self-learning digital twin will be result of the project.",http://dx.doi.org/10.1109/THERMINIC52472.2021.9626541,ENGINEERING.PRODUCT,N,Project plan,
317,AI Large Models Bring Great Opportunities to Reusable Design of CAD Software,"Sun, Yunlei; Yan, Bingyi; Shao, Zhaotong",COMPUTER SCIENCE AND INFORMATION SYSTEMS,2024,"With the rapid development of artificial intelligence (AI), large mod-els have achieved significant breakthroughs in general-purpose domains. However,their application in computer-aided design (CAD) software is still in its early stages.Reusable design is crucial for improving efficiency and innovation in CAD systems.This paper reviews progress in rule-based reasoning (RBR) and case-based reason-ing (CBR), two prevailing techniques for reusable design. RBR represents expertknowledge as rules but lacks self-learning capabilities. CBR draws on prior casesto solve new problems but relies heavily on surface empirical knowledge. Recentadvances in large AI models provide new opportunities to enhance reusable design,thanks to superior language and reasoning abilities.However, adapting large models to effectively leverage CAD-specific design knowl-edge presents open challenges. To advance progress in this area, this paper analyzesthe potential impacts of large models on improving knowledge acquisition, caseretrieval, rule representation, and reasoning explain ability for hybrid CBR-RBRsystems, and proposes a reusable design framework combing large language mod-els, knowledge graphs, and databases to realize more intelligent and interpretablereuse. This review synthesizes key developments in RBR, CBR, and large AI mod-els, highlighting promising directions for advancing reusable design in CAD soft-ware. The integration of reasoning techniques with large models, opening promisingnew directions for computer-aided engineering enhanced by artificial intelligence,as well as lays the foundation for more efficient, innovative, and sustainable engineering design.",http://dx.doi.org/10.2298/CSIS230725042W,ENGINEERING.PRODUCT,N,New algorithm paper,
318,Machine Learning for Bioelectronics on Wearable and Implantable Devices: Challenges and Potential,"Goh, Guo Dong; Lee, Jia Min; Goh, Guo Liang; Huang, Xi; Lee, Samuel; Yeong, Wai Yee",TISSUE ENGINEERING PART A,2023,"Impact statementThe article serves to give insight about the use of the machine learning (ML) techniques in the field of bioelectronics, since bioelectronics and ML are two distinct fields. This article allows bioelectronics researcher to get to know the latest advancement in the ML field. On the other hand, the article provides an insight to the ML researchers about how ML techniques can be useful in bioelectronics applications. Bioelectronics presents a promising future in the field of embedded and implantable electronics, providing a range of functional applications, from personal health monitoring to bioactuators. However, due to the intrinsic difficulties present in producing and optimizing bioelectronics, recent research has focused on utilizing machine learning (ML) to reliably mitigate such issues and aid in process development. This review focuses on the recent developments of integrating ML into bioelectronics, aiding in a multitude of areas, such as material development, fabrication process optimization, and system integration. First, discussing how ML has aided in the material development by identifying complex relationships between process input parameters and desired outputs, such as product design. Second, examine the advancements in ML to accurately optimize fabrication precision and stability for various 3D printing technologies. Third, provide an overview of how ML can greatly assist in the analysis of complex, nonlinear relationships in data obtained from bioelectronics. Lastly, a summary of the challenges present with utilizing ML with bioelectronics and any other developments in this field. Such advancements in the field of bioelectronics and ML could hopefully build a strong foundation for this research field, promoting smart optimization together with effective use of ML to further enhance the effectiveness of such applications.",http://dx.doi.org/10.1089/ten.tea.2022.0119,ENGINEERING.PRODUCT,N,Review paper,
319,Goal-Directed Design Agents: Integrating Visual Imitation With One-Step Lookahead Optimization for Generative Design,"Raina, Ayush; Puentes, Lucas; Cagan, Jonathan; McComb, Christopher",JOURNAL OF MECHANICAL DESIGN,2021,"Engineering design problems often involve large state and action spaces along with highly sparse rewards. Since an exhaustive search of those spaces is not feasible, humans utilize relevant domain knowledge to condense the search space. Deep learning agents (DLAgents) were previously introduced to use visual imitation learning to model design domain knowledge. This note builds on DLAgents and integrates them with one-step lookahead search to develop goal-directed agents capable of enhancing learned strategies for sequentially generating designs. Goal-directed DLAgents can employ human strategies learned from data along with optimizing an objective function. The visual imitation network from DLAgents is composed of a convolutional encoder-decoder network, acting as a rough planning step that is agnostic to feedback. Meanwhile, the lookahead search identifies the fine-tuned design action guided by an objective. These design agents are trained on an unconstrained truss design problem modeled as a sequential, action-based configuration design problem. The agents are then evaluated on two versions of the problem: the original version used for training and an unseen constrained version with an obstructed construction space. The goal-directed agents outperform the human designers used to train the network as well as the previous feedback-agnostic versions of the agent in both scenarios. This illustrates a design agent framework that can efficiently use feedback to not only enhance learned design strategies but also adapt to unseen design problems.",http://dx.doi.org/10.1115/1.4051013,ENGINEERING.PRODUCT,Y,"goal-directed DL agents, model designers' search behavior",
321,Prediction of Maximum Reinforcement Load of Reinforced Soil Retaining Walls Based on Machine Learning,"Ren, Fei-Fan; Tian, Xun; Geng, Xueyu; Ji, Yanjun","ENGINEERING GEOLOGY FOR A HABITABLE EARTH, VOL 4, IAEG XIV CONGRESS 2023",2024,"In the design of reinforced soil structures, it is very important to estimate the loads and strains of reinforcement accurately for the stability of retaining walls. However, most of current theoretical methods can only consider limited factors due to no proper approach for considering more complex condition. In this study, by means of machine learning, 12 related factors affecting the reinforcement loads were chosen, and these factors are closely related to the wall geometry, overlying loads, facing, reinforcement and backfill. Meanwhile, three machine learning algorithms, namely, Support Vector Regression, Artificial Neural Network and XGBoost, were adopted to propose the corresponding prediction model for predicting the maximum reinforcement loads from the wall external features and internal material parameters, and a database of 196 sets of data were employed to train and validate the models. It was found that there is a good agreement between the predicted values and the measured values of the validation sets, especially the XGBoost model with stable and reliable performance. Therefore, machine learning can be regarded as a powerful tool to quickly evaluate the performance of reinforced soil retaining walls in engineering design.",http://dx.doi.org/10.1007/978-981-99-9069-6_8,ENGINEERING.PRODUCT,Q,"Very specific ML method for design of reinforced soil structures, estimation of loads and strains of reinforcement, SVR, ANN, XGBoost",
322,Insights for Managers About AI Adoption in New Product Development,"Cooper, Robert G.; Brem, Alexander M.",RESEARCH-TECHNOLOGY MANAGEMENT,2024,"OVERVIEW: The artificial intelligence (AI) revolution in new product development (NPD) has reached a critical juncture, demanding decisive action from business leaders. Our comprehensive study of key AI applications in NPD reveals a startling lack of adoption across industries, particularly in the United States. Despite the potential benefits, businesses also demonstrate weak intentions to adopt AI and low readiness regarding AI integration into NPD processes. Despite the low adoption rate, the study's results offer a compelling picture of AI's potential, including substantial positive impacts of AI use in key areas like product design, prototyping, testing, digital twin simulations, market analysis, and new product ideation. Benefits include accelerated development and markedly improved decision-making.",http://dx.doi.org/10.1080/08956308.2024.2418734,ENGINEERING.PRODUCT,R,Study about AI adoption by industry,
326,Dynamical mining of ever-changing user requirements: A product design and improvement perspective,"Sun, Hui; Guo, Wei; Shao, Hongyu; Rong, Bo",ADVANCED ENGINEERING INFORMATICS,2020,"Previous studies carried out customer surveys by questionnaires to collect data for analyzing consumer requirements. In recent years, a large and growing body of literature has investigated the extraction of customer requirements and preferences from online reviews. However, since customer requirements change dynamically over time, traditional studies failed to obtain the change data of customer requirements and opinions based on sentiments expressed in reviews. In this paper, a new method for dynamically mining user requirements is proposed, which is used to analyze the changing behavior of product attributes and improve product design. Dynamic mining differs from the traditional need acquisition mainly in three aspects: (1) it involves dynamically mining user requirements over time (2) it adds changes in manufacturers' opinions to the analysis (3) it allows for product improvement strategies based on the changing behavior of product attributes. First, text mining is adopted to collect customer and manufacturer review data for different time periods and extract product attributes. A Natural Language Processing tool is used to measure the importance weight and sentiment score of product attributes. Second, an approach for dynamically mining user requirements is introduced to classify product attributes and analyze the changes of attribute data in three categories over time. Finally, an improvement strategy for next-generation product design is developed based on the changing behavior of attributes. Moreover, a case study on vehicles based on online reviews was conducted to illustrate the proposed methodology. Our research suggests that the proposed approach can accurately mine customer requirements and lead to successful product improvement strategies for next-generation products.",http://dx.doi.org/10.1016/j.aei.2020.101174,ENGINEERING.PRODUCT,Y,"dynamic mining of user requirements from review data, NLP",
