Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
148,Integrating and navigating engineering design decision-related knowledge using decision knowledge graph,Data Modality,Since most of the existing cDSPs are formulated in text-based documents such as research papers and ...,Y,CANDIDATES,98,EXACT,NONE,"Since most of the existing cDSPs are formulated in text-based documents such as research papers and technical papers, in order to populate data in the cDSP template service pool users currently have to manually extract the modules from existing documents and input them to the template",,2025-11-28T16:04:59.662717
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,Data About,We developed a benchmark eyeglass frames dataset specifically for this task. Professional designers ...,Y,LOCAL,80,PARTIAL,NONE,"We developed a benchmark eyeglass frames dataset specifically for this task. Professional designers created most models in the repository using commercial modeling software, and these models are used in real-world production.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:01.669406
84,SketchCleanNet - A deep learning approach to the enhancement and correction of query sketches for a 3D CAD model retrieval system,Data Modality,"The dataset needed to train such a deep learning model, should contain training pairs as follows: (X...",Y,CANDIDATES,98,EXACT,NONE,"The dataset needed to train such a deep learning model, should contain training pairs as follows: (X, Y) — where X is the rough sketch of the 3D CAD model (which is to be cleaned), and Y is the clean image (ground truth). For this purpose, the computer-generated sketches from the CADSketchNet dataset are used as the rough sketches (X).",,2025-11-28T16:05:04.361626
81,Social Computational Design Method for Generating Product Shapes with GAN and Transformer Models,Data Modality,"by expressing design solutions in the form of grammar rule sequences, sequence prediction deep learn...",Y,CANDIDATES,90,EXACT,NONE,"by expressing design solutions in the form of grammar rule sequences, sequence prediction deep learning models (e.g. Transformer) can be applied to predict the complete design solution... Here we suggest conditional convolutional GAN, and its suitable training data structure is illustrated in Fig. 4 (1)... the reason to use convolutional GAN is for convenient solution embedding.",,2025-11-28T16:05:04.517588
139,A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components,AI methods,A generative adversarial network (GAN) is one of the current data-driven generative design systems. ...,Y,CANDIDATES,45,SEMANTIC,PARAPHRASE,"A generative adversarial network (GAN) is one of the current data-driven generative design systems. The ability of the GAN to generate new data (text, images, 3D models, etc.) is utilized in design studies. In this study, a voxel-based 3D deep convolutional generative adversarial network (3D DCGAN) model developed by Wu et al. was used.",,2025-11-28T16:05:05.115156
145,Decision-Making with Probabilistic Reasoning in Engineering Design,AI methods,"In this paper a tool from the field of artificial intelligence, decision networks, is used. Decision...",Y,LOCAL,80,PARTIAL,NONE,"In this paper a tool from the field of artificial intelligence, decision networks, is used. Decision networks utilize probabilistic reasoning to model uncertainties with probabilities. According to Russel and Norvig [17], the structure of a Bayesian network can be described by a directed acyclic graph (DAG) in which each node is annotated quantitative probability information.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:06.481452
145,Decision-Making with Probabilistic Reasoning in Engineering Design,Design Discipline,"As an application for probabilistic reasoning, an example from engineering design is used to demonst...",Y,LOCAL,80,PARTIAL,NONE,"As an application for probabilistic reasoning, an example from engineering design is used to demonstrate a possible handling of uncertainty for the development of robust products. A rotary valve is to be used for the dosing of bulk food for hot drinks.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:06.541197
145,Decision-Making with Probabilistic Reasoning in Engineering Design,Design Practice/Task,"In general, the goal of decision making is to select the most suitable option from a number of possi...",Y,LOCAL,80,PARTIAL,NONE,"In general, the goal of decision making is to select the most suitable option from a number of possible alternatives. Decisions have to be made by the designer during the entire product development process which may be divided in task clarification, concept, embodiment design and detailed design.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:06.557461
145,Decision-Making with Probabilistic Reasoning in Engineering Design,Data About,"For the development of robust products, which are insensitive to uncertainties, it is important to a...",Y,LOCAL,80,PARTIAL,NONE,"For the development of robust products, which are insensitive to uncertainties, it is important to assess possible effects of decisions made in the development process and to consider the relevant influencing factors of tolerances, environments and use cases",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:06.561786
145,Decision-Making with Probabilistic Reasoning in Engineering Design,"AI Assistance Types (Lee and Kim, 2025)",The method presented in this paper supports the engineer in decision-making by representing the unce...,Y,LOCAL,80,PARTIAL,NONE,"The method presented in this paper supports the engineer in decision-making by representing the uncertainties in a decision network using probabilities. With sensitivities, i.e. the minimum and maximum of a requirement corridor, possible use cases are determined with their probability of occurrence. Based on these, statements about the robustness of the product can be made.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:06.567239
94,Generative adaptable design based on hidden Markov model,AI methods,"The Hidden Markov Model (HMM), a sophisticated statistical model adept at analyzing and forecasting ...",Y,LOCAL,80,PARTIAL,NONE,"The Hidden Markov Model (HMM), a sophisticated statistical model adept at analyzing and forecasting sequential data patterns, is a powerful tool enabling designers to process and utilize historical product data effectively.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:09.874377
94,Generative adaptable design based on hidden Markov model,"AI Assistance Types (Lee and Kim, 2025)",This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly...,Y,LOCAL,80,PARTIAL,NONE,This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The generated product solutions are evaluated to provide designers with clear and intuitive selection criteria during the adaptable design evaluation and comprehensive evaluation phase. The stochastic matching of structural modules can be regarded as the hidden state transition process.,Found via local text search (partial match - first 50 chars),2025-11-28T16:05:09.978763
94,Generative adaptable design based on hidden Markov model,Design Discipline,This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly...,Y,LOCAL,80,PARTIAL,NONE,"This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements. A case study of the design process for the Hybrid Additive Manufacturing device is conducted to verify the effectiveness of this method.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:10.060245
94,Generative adaptable design based on hidden Markov model,Design Phase,This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly...,Y,LOCAL,80,PARTIAL,NONE,"This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:10.107884
94,Generative adaptable design based on hidden Markov model,Design Practice/Task,This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly...,Y,LOCAL,80,PARTIAL,NONE,"This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements. The process of matching structural modules to functional requirements in the design process is translated into the stochastic matching of hidden states based on observed states within the HMM.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:10.146403
98,Supervised deep learning for the moving morphable components topology optimization framework,AI methods,"Modern CNN architectures, inspired by the impressive advances in the computer vision field, have als...",Y,LOCAL,80,PARTIAL,NONE,"Modern CNN architectures, inspired by the impressive advances in the computer vision field, have also shown interesting potential for MMC. Using an attention-based Res-U-Net with an image-to-image framework, researchers trained the neural network... Similar to the developments in the field of computer vision, this architecture adds residual connections (He et al., 2016) and multiplicative interactions between the various layers and the input.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:12.680481
98,Supervised deep learning for the moving morphable components topology optimization framework,Data About,Topology optimization (TO) is a numerical tool that aims to automatically solve the problem of effic...,Y,LOCAL,80,PARTIAL,NONE,"Topology optimization (TO) is a numerical tool that aims to automatically solve the problem of efficiently distributing material inside a given domain to maximize specific mechanical properties. This structural optimization method, introduced by Bendsoe in 1988, proposes to represent the material distribution using a set of design variables, and then move toward an optimum by computing the objective function derivative with respect to the design variables.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:12.710089
115,Data-driven multi-objective affective product design integrating three-dimensional form and color,Design Practice/Task,Current related research tends to use single element appearance such as two-dimensional (2D) form or...,Y,CANDIDATES,98,EXACT,NONE,"Current related research tends to use single element appearance such as two-dimensional (2D) form or color as the object, and construct its entire design process through appearance quantification, emotion recognition, emotion prediction and appearance optimization.",,2025-11-28T16:05:15.727537
115,Data-driven multi-objective affective product design integrating three-dimensional form and color,AI methods,"Based on neural network and machine learning algorithms, it constructs multiple models covering the ...",Y,CANDIDATES,100,EXACT,NONE,"Based on neural network and machine learning algorithms, it constructs multiple models covering the entire process of affective product design. As an efficient dimension reduction technique, auto-encoder uses multi-layer neural networks composed of an input layer, several hidden layers and an output layer to extract the low-dimensional deep structural features of high-dimensional data. Since backpropagation neural network (BPNN) has a strong ability to predict and fit continuous data and BPNN optimized by genetic algorithm (GA) can better predict nonlinear mapping relationship",,2025-11-28T16:05:18.325743
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,Data Modality,"We define a binary sketch as I ⊆ {0,1}H×W, where zero denotes pixels covered by pen strokes, and one...",Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"We define a binary sketch as I ⊆ {0,1}H×W, where zero denotes pixels covered by pen strokes, and one denotes uncovered pixels. To generate 256×256 binary sketches for each viewpoint, we use Sobel filters to compute gradients and detect edges.",,2025-11-28T16:05:20.933686
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,AI methods,The implementation begins by extracting features from the FDS using the self-supervised learning mod...,Y,CANDIDATES,85,PARAPHRASE,NONE,"The implementation begins by extracting features from the FDS using the self-supervised learning model DINO, followed by the continuous Signed Distance Function (SDF) regression as an implicit representation through a Multi-Layer Perceptron network.",,2025-11-28T16:05:21.258779
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,Design Discipline,This study selected eyeglass frame design as the subject for 3D shape reconstruction from FDS due to...,Y,CANDIDATES,95,EXACT,NONE,"This study selected eyeglass frame design as the subject for 3D shape reconstruction from FDS due to the distinct modeling characteristics of its rims, bridges, and temples. In industrial design, FDS allows designers to experiment with different product appearances and functional structures, helping them find the most suitable design solution. This research offers practical information for understanding 3D modeling methodology for FDS, triggering multiple modes of design creativity and efficient scheme adjustments in industrial or architectural conceptual design.",,2025-11-28T16:05:21.486958
115,Data-driven multi-objective affective product design integrating three-dimensional form and color,Data Modality,"thirty-six pictures of car samples were collected from 24 different brands through web sites, car ma...",Y,CANDIDATES,90,EXACT,NONE,"thirty-six pictures of car samples were collected from 24 different brands through web sites, car magazines and brochures. Then, their 3D forms were created. The 3D form features of each sample were displayed in three-view drawings for sample screening.",,2025-11-28T16:05:21.582506
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,Design Practice/Task,converting FDS in architectural and industrial design into Digital 3D Models (D3DM) is crucial for v...,Y,CANDIDATES,80,PARAPHRASE,PARAPHRASE,"converting FDS in architectural and industrial design into Digital 3D Models (D3DM) is crucial for verifying, refining, and further developing design proposals. This method enhances the depth and breadth of the design process and also helps facilitate effective communication and understanding among the various parties involved in the project.",,2025-11-28T16:05:24.041955
145,Decision-Making with Probabilistic Reasoning in Engineering Design,Data Modality,"a sensor measures the required powder quantity, which is below its reference value with a probabilit...",Y,CANDIDATES,65,PARAPHRASE,PARAPHRASE,"a sensor measures the required powder quantity, which is below its reference value with a probability of P(low) = 0.1",,2025-11-28T16:05:26.358893
98,Supervised deep learning for the moving morphable components topology optimization framework,Design Phase,"In this paper, we leverage the explicit topology parameterization of the moving morphable components...",Y,CANDIDATES,100,EXACT,NONE,"In this paper, we leverage the explicit topology parameterization of the moving morphable components (MMC) framework to train a deep learning model that directly generates geometric design variables using a model architecture that is independent of the finite element mesh used for structural analysis. The developed model is trained on a large dataset of boundary conditions.",,2025-11-28T16:05:26.567163
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,Design Phase,converting FDS in architectural and industrial design into Digital 3D Models (D3DM) is crucial for v...,Y,CANDIDATES,80,PARAPHRASE,PARAPHRASE,"converting FDS in architectural and industrial design into Digital 3D Models (D3DM) is crucial for verifying, refining, and further developing design proposals. This method enhances the depth and breadth of the design process and also helps facilitate effective communication and understanding among the various parties involved in the project.",,2025-11-28T16:05:27.010562
145,Decision-Making with Probabilistic Reasoning in Engineering Design,Design Phase,Decisions have to be made by the designer during the entire product development process which may be...,Y,CANDIDATES,95,EXACT,NONE,"Decisions have to be made by the designer during the entire product development process which may be divided in task clarification, concept, embodiment design and detailed design. Since it encompasses an initial requirement management, task clarification has a major influence on the later stages, especially on embodiment design where first geometric considerations are made and the shape is defined.",,2025-11-28T16:05:27.184116
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,"AI Assistance Types (Lee and Kim, 2025)","algorithms can predict 3D geometries from free-hand sketches. For example, conditional Generative Ad...",Y,CANDIDATES,75,PARAPHRASE,PARAPHRASE,"algorithms can predict 3D geometries from free-hand sketches. For example, conditional Generative Adversarial Networks (cGANs) can process free-form sketches without strict structural requirements. Experiments demonstrate that this method can effectively reconstruct high-quality 3D models of eyeglass frames from 2D freehand sketches. We directly regress the continuous SDF from point samples using deep neural networks. It takes a 3D point P ∈ R3 and latent vector Z as the input and generates its distance to the closest surface.",,2025-11-28T16:05:27.862557
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,Data Modality,"The input parameters can be divided in motor performance (e.g., torque, voltage, efficiency, speed-R...",Y,LOCAL,80,PARTIAL,NONE,"The input parameters can be divided in motor performance (e.g., torque, voltage, efficiency, speed-RPM), field of application, i.e. Application (e.g., washing machine, dishwasher, air conditioner, heat pump), geographic market, i.e. Market (e.g., USA, Europe) and range of costs, i.e. Standard and Variable cost.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:29.142904
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,Design Discipline,There is the need for a tool that will fill the missing gap in the optimization problems in engineer...,Y,LOCAL,80,PARTIAL,NONE,"There is the need for a tool that will fill the missing gap in the optimization problems in engineering design processes, by making use of the advances in the artificial intelligence field. This paper aims to fill this gap by introducing an innovative Design Support System (DesSS), originated from the Decision Support System, for the prediction and estimation of machine specification data such as machine geometry and machine design on the basis of heterogeneous input parameters.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:29.196055
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,Data About,"This paper aims to fill this gap by introducing an innovative Design Support System (DesSS), origina...",Y,LOCAL,80,PARTIAL,NONE,"This paper aims to fill this gap by introducing an innovative Design Support System (DesSS), originated from the Decision Support System, for the prediction and estimation of machine specification data such as machine geometry and machine design on the basis of heterogeneous input parameters.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:29.269368
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,"AI Assistance Types (Lee and Kim, 2025)",Machine learning-based design support system for the prediction of heterogeneous machine parameters ...,Y,LOCAL,80,PARTIAL,NONE,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0. The main goal of DesSS is to provide the decision support in the design field. The predicted parameters are then used for the recommendation towards the best technical choice for the designers and technicians.,Found via local text search (partial match - first 50 chars),2025-11-28T16:05:29.305684
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,Design Phase,"This paper aims to fill this gap by introducing an innovative Design Support System (DesSS), origina...",Y,LOCAL,80,PARTIAL,NONE,"This paper aims to fill this gap by introducing an innovative Design Support System (DesSS), originated from the Decision Support System, for the prediction and estimation of machine specification data such as machine geometry and machine design on the basis of heterogeneous input parameters. Experimental results obtained on a real use case and using two different real datasets demonstrated the reliability and the effectiveness of the proposed approach.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:29.344620
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,Design Practice/Task,The main goal of this work was to create a system that brings together in an interesting tool many y...,Y,LOCAL,80,PARTIAL,NONE,"The main goal of this work was to create a system that brings together in an interesting tool many years of experience of designers and laboratory technicians. It provides the research and product development departments with a tool that can guide the designer towards the best possible technical choice. We propose a novel concept of machine learning-based DesSS to support the designing choice, based on the available data of the company production processes. For instance, the algorithm is capable of predicting the machine geometry and material on the basis of several input parameters: machine performance (torque, efficiency, speed, etc.), final application, market, and cost range.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:29.409477
94,Generative adaptable design based on hidden Markov model,Data About,"To facilitate the reuse of historical product data, designers require systematic and structured meth...",Y,CANDIDATES,95,EXACT,NONE,"To facilitate the reuse of historical product data, designers require systematic and structured methods for data analysis and processing to enhance design efficiency. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements.",,2025-11-28T16:05:30.229054
98,Supervised deep learning for the moving morphable components topology optimization framework,"AI Assistance Types (Lee and Kim, 2025)","In this paper, we leverage the explicit topology parameterization of the moving morphable components...",Y,CANDIDATES,98,EXACT,NONE,"In this paper, we leverage the explicit topology parameterization of the moving morphable components (MMC) framework to train a deep learning model that directly generates geometric design variables using a model architecture that is independent of the finite element mesh used for structural analysis. The developed model is trained on a large dataset of boundary conditions.",,2025-11-28T16:05:30.790822
98,Supervised deep learning for the moving morphable components topology optimization framework,Data Modality,Instead of using a sparse image as input to convey information on the BCs and desired volume fractio...,Y,CANDIDATES,98,EXACT,NONE,"Instead of using a sparse image as input to convey information on the BCs and desired volume fraction, we propose to use a dense description vector to convey the spatial attributes of the TO problem using coordinates.",,2025-11-28T16:05:33.139018
98,Supervised deep learning for the moving morphable components topology optimization framework,Design Discipline,"In the context of mechanical engineering design, the field of machine learning accelerated topology ...",Y,CANDIDATES,85,PARAPHRASE,NONE,"In the context of mechanical engineering design, the field of machine learning accelerated topology optimization is dominated by image-based models trained in a supervised manner on datasets with a limited diversity of boundary conditions.",,2025-11-28T16:05:33.707267
138,Research on design forms based on artificial intelligence collaboration model,Data Modality,Midjourney and Stable Diffusion are the AI-generating tools used in this session. Their primary meth...,Y,LOCAL,80,PARTIAL,NONE,Midjourney and Stable Diffusion are the AI-generating tools used in this session. Their primary methods of input are reference images and prompts,Found via local text search (partial match - first 50 chars),2025-11-28T16:05:35.240345
138,Research on design forms based on artificial intelligence collaboration model,AI methods,"This research begins with the design morphology theory, integrates interdisciplinary theories such a...",Y,LOCAL,80,PARTIAL,NONE,"This research begins with the design morphology theory, integrates interdisciplinary theories such as bionic design, and topology research, and collaborates with AIGC tools such as Midjourney, Stable Diffusion, and Chilloutmix to conduct case-specific research. Midjourney and Stable Diffusion are the AI-generating tools used in this session.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:35.354931
110,Nonlinear Time Series Fuzzy Regression for Developing Explainable Consumer Preferences' Models Based on Online Comments,Design Discipline,"In CONSUMER-DRIVEN product design, the wishes and demands of each consumer are placed at the center ...",Y,LOCAL,80,PARTIAL,NONE,"In CONSUMER-DRIVEN product design, the wishes and demands of each consumer are placed at the center of value creation. Through the analysis of consumer preferences, the main relationship between consumer preferences and product design attributes can be easily established. On the premise of the model, the design attributes of new products can be optimized by maximizing the emotional score of consumer preferences.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:37.119433
110,Nonlinear Time Series Fuzzy Regression for Developing Explainable Consumer Preferences' Models Based on Online Comments,AI methods,"In this article, a nonlinear time series fuzzy regression method is proposed to model the variationa...",Y,LOCAL,80,PARTIAL,NONE,"In this article, a nonlinear time series fuzzy regression method is proposed to model the variational consumer preference based on online comments, which can generate a fuzzy dynamic consumer preference model with interactive terms, second-order and/or higher order terms. The multiobjective chaos optimization algorithm is then applied to develop the polynomial structure of fuzzy dynamic consumer preferences' models. Thereafter, an FR approach is introduced to obtain the values of fuzzy coefficients for each item in the model structure.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:37.124015
110,Nonlinear Time Series Fuzzy Regression for Developing Explainable Consumer Preferences' Models Based on Online Comments,Data Modality,"By extracting information from online reviews, these companies can obtain valuable data for developi...",Y,LOCAL,80,PARTIAL,NONE,"By extracting information from online reviews, these companies can obtain valuable data for developing new products. In addition, through the analysis of online comments, we can effectively obtain the time series data of consumer preferences with very low cost.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:37.155092
94,Generative adaptable design based on hidden Markov model,Data Modality,"The observable states of HMM represent the product's functional requirements, while the hidden state...",Y,CANDIDATES,98,EXACT,NONE,"The observable states of HMM represent the product's functional requirements, while the hidden states correspond to specific structural modules. The relationship between observable and hidden states represents the mapping between functional requirements and structural modules.",,2025-11-28T16:05:41.515779
98,Supervised deep learning for the moving morphable components topology optimization framework,Design Practice/Task,"In the context of mechanical engineering design, the field of machine learning accelerated topology ...",Y,CANDIDATES,88,PARAPHRASE,NONE,"In the context of mechanical engineering design, the field of machine learning accelerated topology optimization is dominated by image-based models trained in a supervised manner on datasets with a limited diversity of boundary conditions. Topology optimization (TO) is a numerical tool that aims to automatically solve the problem of efficiently distributing material inside a given domain to maximize specific mechanical properties.",,2025-11-28T16:05:41.981381
125,Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,AI methods,"As the main core of the developed DesSS, we introduced different machine learning (ML) approaches ba...",Y,CANDIDATES,98,EXACT,NONE,"As the main core of the developed DesSS, we introduced different machine learning (ML) approaches based on Decision/Regression Tree, k-Nearest Neighbors, and Neighborhood Component Features Selection.",,2025-11-28T16:05:44.615244
113,A cognitive analysis-based key concepts derivation approach for product design,Design Discipline,Product design starts with the generation of concepts that realizes particular customer-required fun...,Y,LOCAL,80,PARTIAL,NONE,"Product design starts with the generation of concepts that realizes particular customer-required functionality creatively or recursively. In the development of a new product, concept generation is a crucial stage, as it determines much of the cost of the product lifetime. A DbA-based VPA experiment was conducted to collect data for design analysis... They had previously worked on an elevator design project and had a thorough understanding of elevator design and operation.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:46.072573
113,A cognitive analysis-based key concepts derivation approach for product design,AI methods,Deep learning-based pretrained language models can be a potential solution to overcome these limitat...,Y,LOCAL,80,PARTIAL,NONE,"Deep learning-based pretrained language models can be a potential solution to overcome these limitations. This approach leverages a pretrained language model to extract information from multiple sources of textual data and represents design thinking in a vector space. The base BERT model is based on 12-layer Transformer encoding network. By stacking several Transformer encoder blocks, BERT converts the text into the hidden representations.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:46.088789
113,A cognitive analysis-based key concepts derivation approach for product design,"AI Assistance Types (Lee and Kim, 2025)",The proposed framework enables the integration of prior knowledge derived from multiple product desi...,Y,LOCAL,80,PARTIAL,NONE,"The proposed framework enables the integration of prior knowledge derived from multiple product design documents into the ideation process for a novel product, while the utilization of a pretrained language model serves to distill and refine the relevant information pertaining to key concepts.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:46.098235
113,A cognitive analysis-based key concepts derivation approach for product design,Data About,"In product design, textual descriptions and spoken words are also employed to offer insight into the...",Y,LOCAL,80,PARTIAL,NONE,"In product design, textual descriptions and spoken words are also employed to offer insight into the thinking process and the previous design schemes. We conduct a Design-by-Analogy based verbal protocol analysis experiment for high-speed elevators to collect verbal data and establish a design thinking corpus. Based on this, our approach is employed for key concepts derivation in product design and explore how solutions are generated to realize specific customer-required functionality.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:46.175732
92,Manifold learning for coherent design interpolation based on geometrical and topological descriptors,Data Modality,we fix a grid in the plane with n×n subdomains (pixels). The integration of the persistence surface ...,Y,LOCAL,100,EXACT,NONE,"we fix a grid in the plane with n×n subdomains (pixels). The integration of the persistence surface over each pixel gives, as a result, the so-called Persistence Image (PI) ∈R2",Found via local text search (full match),2025-11-28T16:05:48.191680
92,Manifold learning for coherent design interpolation based on geometrical and topological descriptors,Design Discipline,"In the context of intellectual property in the manufacturing industry, know-how is referred to pract...",Y,LOCAL,80,PARTIAL,NONE,"In the context of intellectual property in the manufacturing industry, know-how is referred to practical knowledge on how to accomplish a specific task. This know-how is often difficult to be synthesised in a set of rules or steps as it remains in the intuition and expertise of engineers, designers, and other professionals. This section shows how the previous methodology is applied to an industrial example that mimics car's bumpers.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:48.197432
143,Plan-Based Derivation of General Functional Structures in Product Design,Design Discipline,"Design in context of this paper is an engineering activity, which uses scientific and engineering kn...",Y,LOCAL,80,PARTIAL,NONE,"Design in context of this paper is an engineering activity, which uses scientific and engineering knowledge to find solutions for technical problems. Solutions are usually embodied in artifacts. This article relates to the development of CPS and mechatronic systems, so a selection of definitions and modeling from this area is listed below.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:49.777735
143,Plan-Based Derivation of General Functional Structures in Product Design,Design Phase,Early on in the design process functional structures need to be found. These serve as the foundation...,Y,LOCAL,80,PARTIAL,NONE,"Early on in the design process functional structures need to be found. These serve as the foundation in order to search for principal solutions before the artefact is structured into realizable modules. Identifying functions and their structures is about clarifying what purpose the product, or a component of it, is intended to serve. Relevant functions and their structures are then determined and solution principles and their structures are searched for until a breakdown into feasible modules and their design can be made.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:49.781555
143,Plan-Based Derivation of General Functional Structures in Product Design,AI methods,The solver used for this approach is the Partial Order Plan algorithm (POP). The partial order appro...,Y,LOCAL,80,PARTIAL,NONE,"The solver used for this approach is the Partial Order Plan algorithm (POP). The partial order approach is suitable when subproblems may occur independent from one another and it works well on decomposable problems. In the paper of Feldman et al., the creation of circuit designs are automated via the use of a Quantified Boolean Formulas (QBF) Solver by reducing the design generation and testing with new algorithms to the QBF format.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:49.795880
143,Plan-Based Derivation of General Functional Structures in Product Design,Data About,"In product design, a decomposition of the overall product function into a set of smaller, interactin...",Y,LOCAL,80,PARTIAL,NONE,"In product design, a decomposition of the overall product function into a set of smaller, interacting functions is usually considered a crucial first step for any computer-supported design tool. Design in context of this paper is an engineering activity, which uses scientific and engineering knowledge to find solutions for technical problems. Solutions are usually embodied in artifacts.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:49.796976
143,Plan-Based Derivation of General Functional Structures in Product Design,Design Practice/Task,"In product design, a decomposition of the overall product function into a set of smaller, interactin...",Y,LOCAL,80,PARTIAL,NONE,"In product design, a decomposition of the overall product function into a set of smaller, interacting functions is usually considered a crucial first step for any computer-supported design tool. Early on in the design process functional structures need to be found. These serve as the foundation in order to search for principal solutions before the artefact is structured into realizable modules. The decomposition of the overall function into subfunctions is a basic procedural strategy for solving complex problems in methodical product development.",Found via local text search (partial match - first 50 chars),2025-11-28T16:05:49.797622
138,Research on design forms based on artificial intelligence collaboration model,Design Discipline,This study also summarizes the AIGC prompt formula for the industrial design field and proposes an i...,Y,CANDIDATES,100,EXACT,NONE,This study also summarizes the AIGC prompt formula for the industrial design field and proposes an innovative seven-step design form research method with shape finding and shape making.,,2025-11-28T16:05:51.158881
138,Research on design forms based on artificial intelligence collaboration model,"AI Assistance Types (Lee and Kim, 2025)","AI synergy provides new ideas for complex morphology research, extends and complements design, and p...",Y,CANDIDATES,98,EXACT,NONE,"AI synergy provides new ideas for complex morphology research, extends and complements design, and plays a crucial role in the phases of morphology exploration, concept generation, and solution implementation, thereby assisting in the exploration of the central content of design morphology. Experimental verification is required for testing validity so that morphological laws are not only investigated conceptually but quantitatively as well.",,2025-11-28T16:05:56.907128
138,Research on design forms based on artificial intelligence collaboration model,Data About,The purpose of this study is to investigate the research method of design form under the collaborati...,Y,CANDIDATES,85,PARAPHRASE,PARAPHRASE,"The purpose of this study is to investigate the research method of design form under the collaborative mode of artificial intelligence and verify its validity, to provide new ideas for design to carry out interdisciplinary research. This study focuses primarily on morphological research and AI synergy innovation, analysis the theoretical significance of morphological research from an existentialist perspective, combining semiotics, emphasizing the significance of morphology as implication and language that has not yet been fully captured.",,2025-11-28T16:05:57.928787
