Index,Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Phase,Design Practice/Task,Notes,Questions
89,89_CREATIVEGAN EDITING GENERATIVE ADVERSARIAL NETWORKS FOR CREATIVE DESIGN SYNTHESIS,,,,,"Generative models, including generative adversarial networks (GANs), have proven to be effective for design synthesis with applications ranging from product design to metamaterial design. In engineering design synthesis creativity and innovation are among designers' and engineers' most important objectives.","In this paper we use a dataset of bikes, named BIKED, introduced by Regenwetter et al., which includes 4,775 bikes created by people on a bike design platform. Each bike is divided in seven main parts, which are frame, saddle, wheel, handle, bottle, rack, and crank.","In this paper we use a dataset of bikes, named BIKED, introduced by Regenwetter et al., which includes 4,775 bikes [36] created by people on a bike design platform. The data are available in BikeCAD, CSV and image file formats. We use bike assembly and part images in our approach. The bike assembly images are used to train generative models, while we use the part images for training a segmentation model.","Generative models, including generative adversarial networks (GANs), have proven to be effective for design synthesis with applications ranging from product design to metamaterial design. In this paper we use the state-of-the-art GAN in single class image generation called StyleGAN2","This paper proposes an automated method, named CreativeGAN, for generating novel designs. It does so by identifying components that make a design unique and modifying a GAN model such that it becomes more likely to generate designs with identified unique components.","This paper proposes an automated method, named CreativeGAN, for generating novel designs. It does so by identifying components that make a design unique and modifying a GAN model such that it becomes more likely to generate designs with identified unique components.","Generative models, including generative adversarial networks (GANs), have proven to be effective for design synthesis with applications ranging from product design to metamaterial design. These automated computational design methods can support human designers, who typically create designs by a time-consuming process of iteratively exploring ideas using experience and heuristics. This paper proposes an automated method, named CreativeGAN, for generating novel designs.",Analyzed by PDF Analyzer on 2025-10-22,
168,168_Empirical Evidence on Conversational Control of GUI in Semantic Automation,,,,,"This research explores integration of a Large Language Model (LLM) fine-tuned to conversationally control the user interface (UI) for a Semantic Automation Layer (SAL). To evaluate the efficacy and usability of conversational control in various use-case scenarios, we conduct and report on an empirical interaction design user study.","We ingested an internal test dataset containing ˷50 tables on banking customer insights and left control of the UI up to the user. In task T1.1, we wanted users to retrieve data on customer churn/attrition, before opening table details T1.2 and exploring the semantic enrichments T1.3.","Conversational User Interfaces (CUIs), particularly chatbots, mark a transformative direction in human-computer interaction (HCI) by facilitating more natural and organic interactions with devices via spoken or textual dialogue. The main interface features a chat component, providing conversational prompts to guide users in forming requests, which our conversational agent is capable of interpreting and executing.","Generative AI has seen rapid advancement in recent years, particularly with the development of Large Language Models (LLMs). These models, such as OpenAI's GPT series, have the capability to generate content that closely resembles human-created output.","We augment the UI with our conversational engine and propose In-situ Prompt Engineering and learn from Human Feedback to smoothen the interaction and manipulation of UI through natural language commands. semantically enriched table with auto-generated caption, description, tags and estimated primary key, as well as column descriptions and glossary concept mappings. The model is objected to implicitly perform three tasks in a single pass: (1) intent recognition, (2) entity extraction and (3) response generation.","We develop a web-based CGUI that allows users to interact directly with this SAL in a graphical manner. The main interface features a chat component, providing conversational prompts to guide users in forming requests, which our conversational agent is capable of interpreting and executing. To evaluate the Conversational GUI proposed in the previous section, we performed a user study with 11 business analysts who were given different tasks involving semantic capabilities.","To evaluate the efficacy and usability of conversational control in various use-case scenarios, we conduct and report on an empirical interaction design user study. Our findings provide evidence supporting enhanced user engagement and satisfaction.",Analyzed by PDF Analyzer on 2025-10-22,
87,87_Reinforcement for Automation,,,,,"Transferring Reinforcement Learning into engineering design helps to overcome two current issues of data-driven Design Automation in engineering design. One of these repetitive tasks is the detailing of geometric parameters in CAD systems and their evaluation using computer-aided engineering tools, such as Finite Element Method (FEM). Both design tasks represent the customisation of performance-oriented bike parts. In the first application, an aluminum bike crank of individual length is designed to be as light as possible while being able to withstand a vertical force of 1500.0N.","In the first application, an aluminum bike crank of individual length is designed to be as light as possible while being able to withstand a vertical force of 1500.0N. Both requirements are of type maximal and can be visualised according to Fig.2. For threshold values, designs for the bike crank should not be heavier than 180.0g and the resulting stresses should not be higher than 200.0MPa. The agent is allowed to modify the crank width (CW), the slot length (SL) and the slot radius (SR).","states are defined by the values of geometric parameters, e. g. the length of an extrusion. Therefore, a change of the environment's state will automatically modify the geometric parameters in the Section 3.2 and lead to new characteristics of the product, e. g. a new mass.","Reinforcement Learning has proven to be capable of solving complex tasks like playing video games, robotics control, speech or image recognition and processing. Transferring Reinforcement Learning into engineering design helps to overcome two current issues of data-driven Design Automation in engineering design. Limiting the scope on MDPs, which seek to optimise performance as determined by the rewards of the process by finding the optimal policy by applying Q-Learning and use a Deep Neural Network as a function approximator.","The objective of design agents is to learn a policy, which describes a chain of agents' decisions, leading from an initial design to a suitable design by modifying geometric parameters. Building on the framework of RL according to [33], this is realised by four modules... the agent is allowed to take an action at any time t... Therefore, a change of the environment's state will automatically modify the geometric parameters in the Section 3.2 and lead to new characteristics of the product... These are observed as feedback by the environment and used to calculate the reward.","One of these repetitive tasks is the detailing of geometric parameters in CAD systems and their evaluation using computer-aided engineering tools, such as Finite Element Method (FEM). Shifting such tasks from the human designer over to the computer is called Design Automation","One of these repetitive tasks is the detailing of geometric parameters in CAD systems and their evaluation using computer-aided engineering tools, such as Finite Element Method (FEM). Shifting such tasks from the human designer over to the computer is called Design Automation. The objective of design agents is to learn a policy, which describes a chain of agents' decisions, leading from an initial design to a suitable design by modifying geometric parameters.",Analyzed by PDF Analyzer on 2025-10-22,
144,144_Machine learning for topology optimization Physics-based learning through an independent training strategy,,,,,"The speedup enabled by the framework makes topology optimization a more attractive tool for engineers in search of lighter and stronger structures, with the potential to revolutionize the engineering design process.","Structural optimization [2] has the potential to revolutionize the way engineers design our world, leading to structures that are lighter, safer and more efficient than the present-day ones. In the field of structural optimization, topology optimization [3] is a popular technique that allows for the free distribution of material in a given domain to minimize a given objective function.","The discretized stiffness map can be interpreted as a 3D image, where elements in the discretization are the voxels of the 3D object, in analogy to the pixels of a 2D image. Therefore, similar to the way 2D CLs extract local features from images for image classification, we use 3D CLs to extract local features from the stiffness map.","A deep neural network (DNN) is used as the ML model. The architecture of the DNN is inspired by the models used for image classification, in which convolutional layers (CLs) extract the main features of an image and fully connected layers are subsequently used for the final classification. In a similar manner, we use 3D CLs to extract information from the discretized stiffness map of the structure. The discretized stiffness map can be interpreted as a 3D image, where elements in the discretization are the voxels of the 3D object, in analogy to the pixels of a 2D image.","the ML model takes the stiffness distribution of the fine-resolution mesh (i.e., E_i(z_i) defined in Eq. (4)) and the displacement field on the coarse-resolution mesh as input features, and outputs the sensitivity of the objective function with respect to the material stiffness of the fine mesh... Once we obtain this sensitivity, we can then efficiently compute the sensitivity with respect to the design variables using the chain rule, as described in Eq. (7), which are then used to update the fine-resolution design.","we propose an artificial intelligence approach to drastically accelerate topology optimization without sacrificing its accuracy. The resulting AI-driven topology optimization can fully capture the underlying physics of the problem. The main implementation, used to obtain the results, is developed in python 3.6, using the PyTorch library for the implementation of the ML model.","The high computational cost of topology optimization has prevented its widespread use as a generative design tool. To reduce this computational cost, we propose an artificial intelligence approach to drastically accelerate topology optimization without sacrificing its accuracy. The speedup enabled by the framework makes topology optimization a more attractive tool for engineers in search of lighter and stronger structures, with the potential to revolutionize the engineering design process.",Analyzed by PDF Analyzer on 2025-10-22,
139,139_A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components,,,,,"Department of Industrial Design Engineering, Gazi University. This study aimed to improve the mechanical properties of 3D concept designs by combining the design capability of a generative adversarial network with finite element analysis. A 'joint' component used in the aerospace industry is considered to demonstrate the proposed method's effectiveness. The functionality of structural components was evaluated concerning von Mises values.","A 'joint' component used in the aerospace industry is considered to demonstrate the proposed method's effectiveness. Over six iterations, an increase of 20% is recorded in the average safety factor of the designs, and the variety of designs produced is narrowed in the desired direction.","Using the 'binvox' library on Python 3.10, the models in OBJ format were converted into voxel format, which expresses an object as a collection of unit cubes. Since voxels can represent complex internal structures, they were chosen as the appropriate data representation method for the structural component data generated in this study. However, part resolution depends on the amount/size of voxels. For this study, the ideal grid size was determined as 128×128×128, depending on the computer processing capacity.","A generative adversarial network (GAN) is one of the current data-driven generative design systems. The ability of the GAN to generate new data (text, images, 3D models, etc.) is utilized in design studies. In this study, a voxel-based 3D deep convolutional generative adversarial network (3D DCGAN) model developed by Wu et al. was used.","The main objective of this study was to develop an autonomous approach to improving the functional properties of 3D models generated by deep-learning-supported generative design method. While 3DGAN generates new data, finite element analysis (FEA) is used to evaluate the mechanical properties of the generated data.","This study aimed to improve the mechanical properties of 3D concept designs by combining the design capability of a generative adversarial network with finite element analysis. developing and using deep-learning-based generative design methods has accelerated design processes such as inspiration, idea generation, concept generation, evaluation, and optimization.","developing and using deep-learning-based generative design methods has accelerated design processes such as inspiration, idea generation, concept generation, evaluation, and optimization. The proposed design and evaluation cycle aims to improve the mechanical properties of 3D models generated by GAN. generative design and FEA methods are combined with data-dependent generative design to perform long/laborious analysis–redesign processes in a shorter time and without human intervention.",Analyzed by PDF Analyzer on 2025-10-23,
189,189_The Application of Deep Learning for the Evaluation of User Interfaces,,,,,"In this study, we tested the ability of a machine-learning model (ML) to evaluate different user interface designs within the defined boundaries of some given software. Our approach used ML to automatically evaluate existing and new web application designs and provide developers and designers with a benchmark for choosing the most user-friendly and effective design.","This was accomplished by recording user accuracy and solution time as they used a web application that was developed for this research. The application records information about the user interface that was randomly assigned to the participant (layout, combination of colors, contrast, and type and size of the font), the question, the answers, the respondent's recorded answer, and the time the respondent spent answering. Response time was measured from the moment at which the interface of the specific question was fully loaded and displayed to the respondent until the moment at which the respondent answered the question and the application began loading the next question.","Based on the data collected on the appearance of the layout and the question asked, images of the user interface shown to the respondent were created and stored for deep learning purposes.","To prove the hypothesis that CNNs can evaluate the effectiveness of a user interface, we tested a number of diverse architectures: vanilla CNNs, general-purpose networks modified for regression tasks such as VGG19 (Visual Geometry Group) [28], InceptionResNetV2 [29], Xception [30], and ResNet50 [31], and deep ensemble models for regression. CNN training was implemented with the Keras [32] and TensorFlow [33] deep-learning frameworks.",The goal of this study was to test the hypothesis that a machine-learning model (ML) can evaluate the future performance of a user interface in terms of user response and that such a model is capable of evaluating different user interface designs within the defined boundaries of some given software. Our approach used ML to automatically evaluate existing and new web application designs and provide developers and designers with a benchmark for choosing the most user-friendly and effective design. The model can rank accessible designs and evaluate the accessibility of new designs.,"We designed an ensemble model involving a multichannel custom CNN. CNN training was implemented with the Keras and TensorFlow deep-learning frameworks. We tested a number of diverse architectures: vanilla CNNs, general-purpose networks modified for regression tasks such as VGG19, InceptionResNetV2, Xception, and ResNet50, and deep ensemble models for regression.","Our approach used ML to automatically evaluate existing and new web application designs and provide developers and designers with a benchmark for choosing the most user-friendly and effective design. The model can rank accessible designs and evaluate the accessibility of new designs. In total, 338 participants (mostly students of the University of Zagreb and the University of Dubrovnik) took part in the research. The application records information about the user interface that was randomly assigned to the participant (layout, combination of colors, contrast, and type and size of the font), the question, the answers, the respondent's recorded answer, and the time the respondent spent answering.",Analyzed by PDF Analyzer on 2025-10-23,
81,81_Social Computational Design Method for Generating Product Shapes with GAN and Transformer Models,,,,,product shape design is used as entry point to demonstrate its operability. The purpose of KET1 is to define the solution space for a specific kind of product shape design task,"Social Computational Design Method for Generating Product Shapes with GAN and Transformer Models. The key idea of the method is to establish a set of shape grammar rules that can express a certain type of product shape in the form of shape grammar rule sequence. Here, a case study of Drone shape design is used as example to introduce the approach of applying the methods.","by expressing design solutions in the form of grammar rule sequences, sequence prediction deep learning models (e.g. Transformer) can be applied to predict the complete design solution... Here we suggest conditional convolutional GAN, and its suitable training data structure is illustrated in Fig. 4 (1)... the reason to use convolutional GAN is for convenient solution embedding.","use sequence prediction deep learning models (e.g. Transformer) to predict the complete design solution for a give shape design task based on the incomplete design solution provided by human designer in the form of shape grammar rules sequences. In addition, generative deep learning models (e.g. GAN) can be used for data enhancement to fabricate large numbers of training data for the sequence prediction deep learning model.","use sequence prediction deep learning models (e.g. Transformer) to predict the complete design solution for a give shape design task based on the incomplete design solution provided by human designer in the form of shape grammar rules sequences. In addition, generative deep learning models (e.g. GAN) can be used for data enhancement to fabricate large numbers of training data for the sequence prediction deep learning model. The solutions generated with GAN would inevitably have flaws, and therefore have to pass an evaluation and selection procedure. Here we suggest using Bayesian causal map, which is a kind of Bayesian network transformed from quantitative causal map.","A social computational design method is established, aiming at taking advantages of the fast-developing artificial intelligence technologies for intelligent product design. The key idea of the method is to establish a set of shape grammar rules that can express a certain type of product shape in the form of shape grammar rule sequence, and then use sequence prediction deep learning models (e.g. Transformer) to predict the complete design solution for a give shape design task based on the incomplete design solution provided by human designer in the form of shape grammar rules sequences.","The key idea of the method is to establish a set of shape grammar rules that can express a certain type of product shape in the form of shape grammar rule sequence, and then use sequence prediction deep learning models (e.g. Transformer) to predict the complete design solution for a give shape design task based on the incomplete design solution provided by human designer in the form of shape grammar rules sequences.",Analyzed by PDF Analyzer on 2025-10-23,
148,148_Integrating and navigating engineering design decision-related knowledge using decision knowledge graph,,,,,"Engineering design is increasingly recognized as a decision-making process. Mistree et al. point out that the principal role of a designer is to make decisions. Providing relevant decision support is critical for augmenting designers' decision-making ability and thus speeding up the design process and generating quality designs. In engineering design, how designers make decisions is typically summarized as a three-step iterative process.",Zhang et al. [34] proposed a graph-based knowledge reuse framework to facilitate decision making in new product development. One of the typical applications of KGs in engineering design is to enable sharing and reusing knowledge between different stakeholders or platforms along the product lifecycle.,"Since most of the existing cDSPs are formulated in text-based documents such as research papers and technical papers, in order to populate data in the cDSP template service pool users currently have to manually extract the modules from existing documents and input them to the template","In this step the importance of a concept against a cDSP is evaluated and update the table created in Step A. It' s necessary because the importance of different concepts against a cDSP is different. For example, when a cDSP contains two concepts and one concept emerges in only 5 cDSPs of all 100 cDSPs while another emerges in 90 cDSPs of all 100 cDSPs, we can infer that the first concept is much more important than the second one for that cDSP. In this step, we use the Term Frequency – Inverse Document Frequency (TF-IDF) [44] as an importance indicator that is commonly used to measure the importance of a word against a document.","In order to address this need, in this paper we propose a knowledge-graph-based method for structuring and navigating decision-related knowledge in the design of engineered systems. Providing relevant decision support is critical for augmenting designers' decision-making ability and thus speeding up the design process and generating quality designs. enabling designers to quickly and precisely searching relevant information is critical for supporting their decisions during design processes","In this paper we propose a knowledge-graph-based method for structuring and navigating decision-related knowledge in the design of engineered systems. Based on the cDSP template and the cDSP ontology, we are now developing a Cloud-Based Decision Support (CBDS) platform. In this section we present a method for building decision knowledge graph (DKG) and navigating decision knowledge. The method consists of three main blocks, namely, meta-model of DKG (mDKG) definition, DKG construction, and decision knowledge navigation (DKN) implementation.","Step 1 deals with the preparation of information that is fundamental for decision formulation in Step 2 and post-solution analysis in Step 3. Information preparation is important due to the fact that designers need certain amount of domain-specific information or knowledge to understand to problem before it is formulated. Li et al. [5] summarize that designers searching information mainly for four reasons: (1) acting as 'memory extension' for individual engineers and enabling information sharing among them, (2) exploring design concept alternatives during the early design stage, (3) learning from the original design and understanding the rationale behind the decisions made, and (4) searching past designs for knowledge reuse when working on a similar product or problem.",Analyzed by PDF Analyzer on 2025-10-29,
84,84_SketchCleanNet - A deep learning approach to the enhancement and correction of query sketches for a 3D CAD model retrieval system,,,,,"An engineering components database typically includes 3D CAD models such as washers, pistons, connecting rods, gear parts, and so forth. In product life cycle (PLC) analysis and management, the entire cycle starts with design. Developing an engineering shape benchmark for CAD models. The Engineering Shape Benchmark (ESB) and Mechanical Components Benchmark (MCB) datasets are used throughout this research.","An engineering components database typically includes 3D CAD models such as washers, pistons, connecting rods, gear parts, and so forth.","The dataset needed to train such a deep learning model, should contain training pairs as follows: (X, Y) — where X is the rough sketch of the 3D CAD model (which is to be cleaned), and Y is the clean image (ground truth). For this purpose, the computer-generated sketches from the CADSketchNet dataset are used as the rough sketches (X).","In this paper, a deep learning approach is proposed to improve or clean the query sketches. Initially, sketches from various categories are analysed in order to understand the many possible defects that may occur. A dataset of cleaned-up or enhanced query sketches is then created based on an understanding of these defects. Consequently, an end-to-end training of a deep neural network is carried out in order to provide a mapping between the defective and the clean sketches.","This network takes the defective query sketch as the input and generates a clean or an enhanced query sketch. Consequently, an end-to-end training of a deep neural network is carried out in order to provide a mapping between the defective and the clean sketches.","In this paper, a deep learning approach is proposed to improve or clean the query sketches. Initially, sketches from various categories are analysed in order to understand the many possible defects that may occur. A dataset of cleaned-up or enhanced query sketches is then created based on an understanding of these defects. Consequently, an end-to-end training of a deep neural network is carried out in order to provide a mapping between the defective and the clean sketches.","Collecting the right information for product design is a time-consuming process. The product development process in the modern day is fast-paced, in order to keep up with rising customer demands. As a result, the development of new product designs is increasingly reliant on reference products or existing designs. Consequently, efficient search and retrieval of relevant product designs becomes crucial for tasks such as automated feature recognition of CAD models, extracting components for CAD assembly, computing geometric similarity of CAD parts and so forth.",Analyzed by PDF Analyzer on 2025-10-29,
115,115_Data-driven multi-objective affective product design integrating three-dimensional form and color,,,,,"Product form and color play a key role in stimulating consumers' affective responses to products. To validate the effectiveness and practicability of the proposed method, its design application system and an experimental study on two design models (Model I and Model II) are constructed and applied in car design.",Product form and color play a key role in stimulating consumers' affective responses to products. Obtaining higher emotional quality through affective product design is an important goal of modern product design. 100 senior undergraduates (50 males and 50 females) who had studied industrial design for more than two years and had normal vision were invited as test subjects to participate in the emotion evaluation.,"thirty-six pictures of car samples were collected from 24 different brands through web sites, car magazines and brochures. Then, their 3D forms were created. The 3D form features of each sample were displayed in three-view drawings for sample screening.","Based on neural network and machine learning algorithms, it constructs multiple models covering the entire process of affective product design. As an efficient dimension reduction technique, auto-encoder uses multi-layer neural networks composed of an input layer, several hidden layers and an output layer to extract the low-dimensional deep structural features of high-dimensional data. Since backpropagation neural network (BPNN) has a strong ability to predict and fit continuous data and BPNN optimized by genetic algorithm (GA) can better predict nonlinear mapping relationship","a prediction model for establishing a comprehensive coupling relationship between appearance and emotion and achieving more accurate emotion prediction, and an optimization model for better realizing optimal designs in response to multiple emotions by utilizing the comprehensive coupling relationship","To validate the effectiveness and practicability of the proposed method, its design application system and an experimental study on two design models (Model I and Model II) are constructed and applied in car design. An automatic simulation system of the method was constructed by using MATLAB software to realize its technical integration and application.","Current related research tends to use single element appearance such as two-dimensional (2D) form or color as the object, and construct its entire design process through appearance quantification, emotion recognition, emotion prediction and appearance optimization.",Analyzed by PDF Analyzer on 2025-10-29,
159,159_Will artificial intelligence platforms replace designers in the future analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,,,,,"Among the 12 designers, roles included graphic designers (4, 33.33%), product/ industrial designers (4, 33.33%), architectural designers (2, 16.67%), and interior designers (2, 16.67%). The content of design education received by designers can vary depending on their specialization—such as graphic design, industrial design, interior design, or fashion design—and the educational institution, but generally includes several fundamental components: design principles, design thinking, design tools, design history, design practice, and ethics.","This research investigates the impact of artificial intelligence platforms on the engineering design industry by analyzing the perceptions of color and views on artificial intelligence development among designers and non-designers. The study utilized a two-stage approach: the first involved artificial intelligence-assisted design tasks and focus group discussions with 24 participants, capturing both visual and textual data. K-means color clustering and thematic analysis were applied to images and texts.","The study utilized a two-stage approach: the first involved artificial intelligence-assisted design tasks and focus group discussions with 24 participants, capturing both visual and textual data. The data analyzed encompassed two dimensions: visual representations of the participants' design works and textual data derived from the group discussions.","The ability of deep learning to process complex and ambiguous data, combined with the numerous models developed in the field of computer vision that excel in visual processing, positions deep learning as an exceptionally promising AI method for design applications. ... This AI painting platform, grounded in deep learning theory, leverages GAN and CNN models to generate images from user prompts, creating diverse stylistic artworks.","Both groups agreed that AI platforms are suitable as repositories of creative inspiration in professional life, enhancing efficiency. The most recognized use of AI platforms by designers was as a repository of creative inspiration (83, 74.77%), followed by efficient material production (80, 72.07%), style transformation (69, 62.16%), and rapid prototyping (72, 64.86%).","participants were required to complete four design assignments within a 25-min timeframe. These tasks entailed creating designs for a table lamp (task 1), a hat (task 2), a pet illustration (task 3), and a small car (task 4). designers surveyed in stage 2 generally believe that AI platforms are more suited for use in the early stages of the design process and in the final presentation of results. This includes conceptual design (sketches, brainstorming, etc., with an average rating of 2.99 ± 1.56), preliminary design (models, prototypes, etc., rated 2.97 ±1.66)","AI platforms serve as repositories for creative inspiration, with their training libraries encompassing a diverse array of real-world items and sources. designers surveyed in stage 2 generally believe that AI platforms are more suited for use in the early stages of the design process and in the final presentation of results. This includes conceptual design (sketches, brainstorming, etc., with an average rating of 2.99 ± 1.56), preliminary design (models, prototypes, etc., rated 2.97 ±1.66), and final design presentation (rated 2.95 ± 1.60).",Analyzed by PDF Analyzer on 2025-10-29,
105,105_Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,,,,,"This study selected eyeglass frame design as the subject for 3D shape reconstruction from FDS due to the distinct modeling characteristics of its rims, bridges, and temples. In industrial design, FDS allows designers to experiment with different product appearances and functional structures, helping them find the most suitable design solution. This research offers practical information for understanding 3D modeling methodology for FDS, triggering multiple modes of design creativity and efficient scheme adjustments in industrial or architectural conceptual design.","We developed a benchmark eyeglass frames dataset specifically for this task. Professional designers created most models in the repository using commercial modeling software, and these models are used in real-world production.","We define a binary sketch as I ⊆ {0,1}H×W, where zero denotes pixels covered by pen strokes, and one denotes uncovered pixels. To generate 256×256 binary sketches for each viewpoint, we use Sobel filters to compute gradients and detect edges.","The implementation begins by extracting features from the FDS using the self-supervised learning model DINO, followed by the continuous Signed Distance Function (SDF) regression as an implicit representation through a Multi-Layer Perceptron network.","algorithms can predict 3D geometries from free-hand sketches. For example, conditional Generative Adversarial Networks (cGANs) can process free-form sketches without strict structural requirements. Experiments demonstrate that this method can effectively reconstruct high-quality 3D models of eyeglass frames from 2D freehand sketches. We directly regress the continuous SDF from point samples using deep neural networks. It takes a 3D point P ∈ R3 and latent vector Z as the input and generates its distance to the closest surface.","converting FDS in architectural and industrial design into Digital 3D Models (D3DM) is crucial for verifying, refining, and further developing design proposals. This method enhances the depth and breadth of the design process and also helps facilitate effective communication and understanding among the various parties involved in the project.","converting FDS in architectural and industrial design into Digital 3D Models (D3DM) is crucial for verifying, refining, and further developing design proposals. This method enhances the depth and breadth of the design process and also helps facilitate effective communication and understanding among the various parties involved in the project.",Analyzed by PDF Analyzer on 2025-10-29,
94,94_Generative adaptable design based on hidden Markov model,,,,,"This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements. A case study of the design process for the Hybrid Additive Manufacturing device is conducted to verify the effectiveness of this method.","To facilitate the reuse of historical product data, designers require systematic and structured methods for data analysis and processing to enhance design efficiency. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements.","The observable states of HMM represent the product's functional requirements, while the hidden states correspond to specific structural modules. The relationship between observable and hidden states represents the mapping between functional requirements and structural modules.","The Hidden Markov Model (HMM), a sophisticated statistical model adept at analyzing and forecasting sequential data patterns, is a powerful tool enabling designers to process and utilize historical product data effectively.",This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The generated product solutions are evaluated to provide designers with clear and intuitive selection criteria during the adaptable design evaluation and comprehensive evaluation phase. The stochastic matching of structural modules can be regarded as the hidden state transition process.,"This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements.","This paper proposes a generative adaptable design method based on HMM to assist designers in rapidly generating design solutions. The proposed method utilizes HMM to model the structural modules and their connections within historical products, enabling designers to efficiently reuse existing product modules to generate diverse design configurations optimized to user requirements. The process of matching structural modules to functional requirements in the design process is translated into the stochastic matching of hidden states based on observed states within the HMM.",Analyzed by PDF Analyzer on 2025-10-29,
183,183_Machine Learning Based User Interface Generation,,,,,"User Interface Design process involves a lot a creativity that starts on a whiteboard where designers share ideas. Once a design is drawn, and after iterations among the design team, a design mockup is ready.","Every product development starts with idea conceptualization and design. The ideators and designers first choice is sketching the idea to conceptualize the product. After a few iterations of product design, mockups/prototypes are passed to developers who have the job of converting these designs into a functional product by grasping the design concepts and using their coding skills.","The service will consist of two stages firstly accepting images of web mockups including hand-drawn sketches and identifying the various HTML components in the sketch using Convolutional Neural Networks and tag them appropriately. Using Optical Character Recognition (OCR) the handwritten characters have be interpreted. There are many cases where the text is written inside the design components. Some examples are hints in textbox, labels, checkboxes, paragraphs. These texts will be handwritten and need to be recognised accurately.","Utilizing the advancements in deep learning and computer vision technologies, gap between designers and developers is bridged by simplifying the product development process. identifying the various HTML components in the sketch using Convolutional Neural Networks and tag them appropriately. Convolutional Neural Networks are widely being used for image classification problems. We used CNN to learn a model by mapping input images to fixed size vector representing various DOM elements like textbox, radiobutton, checkboxes, labels etc.",We can use this technology to build a system that understands what a designer has drawn on a whiteboard and can translate that understanding to HTML code. This way we can generate HTML wireframes directly from a hand-drawn image giving an instant working design implementation thus streamlining the design process.,"The implemented solution provides an innovative and efficient way of designing front-end interfaces, helping to speed up development cycles in complex software development projects. Our solution leverages fundamental principles of computer vision and greedy approach to obtain better results.",We can use this technology to build a system that understands what a designer has drawn on a whiteboard and can translate that understanding to HTML code. This way we can generate HTML wireframes directly from a hand-drawn image giving an instant working design implementation thus streamlining the design process.,Analyzed by PDF Analyzer on 2025-10-29,
145,145_Decision-Making with Probabilistic Reasoning in Engineering Design,,,,,"As an application for probabilistic reasoning, an example from engineering design is used to demonstrate a possible handling of uncertainty for the development of robust products. A rotary valve is to be used for the dosing of bulk food for hot drinks.","For the development of robust products, which are insensitive to uncertainties, it is important to assess possible effects of decisions made in the development process and to consider the relevant influencing factors of tolerances, environments and use cases","a sensor measures the required powder quantity, which is below its reference value with a probability of P(low) = 0.1","In this paper a tool from the field of artificial intelligence, decision networks, is used. Decision networks utilize probabilistic reasoning to model uncertainties with probabilities. According to Russel and Norvig [17], the structure of a Bayesian network can be described by a directed acyclic graph (DAG) in which each node is annotated quantitative probability information.","The method presented in this paper supports the engineer in decision-making by representing the uncertainties in a decision network using probabilities. With sensitivities, i.e. the minimum and maximum of a requirement corridor, possible use cases are determined with their probability of occurrence. Based on these, statements about the robustness of the product can be made.","Decisions have to be made by the designer during the entire product development process which may be divided in task clarification, concept, embodiment design and detailed design. Since it encompasses an initial requirement management, task clarification has a major influence on the later stages, especially on embodiment design where first geometric considerations are made and the shape is defined.","In general, the goal of decision making is to select the most suitable option from a number of possible alternatives. Decisions have to be made by the designer during the entire product development process which may be divided in task clarification, concept, embodiment design and detailed design.",Analyzed by PDF Analyzer on 2025-10-29,
